District,Gender,"Area, Sex and type of activity",Duration of activity performed (in month),Value
 Manang,Male,Extended Economic,7, 2
 Manang,Male,Extended Economic,8,7
 Manang,Male,Extended Economic,9,0
 Manang,Male,Extended Economic,10, 3
 Manang,Male,Extended Economic,11,2
 Manang,Male,Extended Economic,12, 10
 Manang,Male,Seeking job,0, 2533
 Manang,Male,Seeking job,1, 6
 Manang,Male,Seeking job,2, 29
 Manang,Male,Seeking job,3,7
 Manang,Male,Seeking job,4,7
 Manang,Male,Seeking job,5,  2
 Manang,Male,Seeking job,6,7
 Manang,Male,Seeking job,7, 1
 Manang,Male,Seeking job,8,3
 Manang,Male,Seeking job,9,1
 Manang,Male,Seeking job,10, 2
 Manang,Male,Seeking job,11,0
 Manang,Male,Seeking job,12, 12
 Manang,Male,Non-Economic,0,1696
 Manang,Male,Non-Economic,1,17
 Manang,Male,Non-Economic,2,106
 Manang,Male,Non-Economic,3,  26
 Manang,Male,Non-Economic,4,  53
 Manang,Male,Non-Economic,5,  8
 Manang,Male,Non-Economic,6,  23
 Manang,Male,Non-Economic,7, 1
 Manang,Male,Non-Economic,8,4
 Manang,Male,Non-Economic,9,  10
 Manang,Male,Non-Economic,10,81
 Manang,Male,Non-Economic,11,2
 Manang,Male,Non-Economic,12,583
 Manang,Female,Economic,0,  756
 Manang,Female,Economic,1,2
 Manang,Female,Economic,2,  80
 Manang,Female,Economic,3,9
 Manang,Female,Economic,4, 13
 Manang,Female,Economic,5, 1
 Manang,Female,Economic,6,211
 Manang,Female,Economic,7,41
 Manang,Female,Economic,8, 299
 Manang,Female,Economic,9,  88
 Manang,Female,Economic,10,  209
 Manang,Female,Economic,11,  9
 Manang,Female,Economic,12,673
 Manang,Female,Extended Economic,0,2105
 Manang,Female,Extended Economic,1,  22
 Manang,Female,Extended Economic,2, 123
 Manang,Female,Extended Economic,3,  44
 Manang,Female,Extended Economic,4, 32
 Manang,Female,Extended Economic,5, 0
 Manang,Female,Extended Economic,6, 54
 Manang,Female,Extended Economic,7, 0
 Manang,Female,Extended Economic,8,9
 Manang,Female,Extended Economic,9,0
 Manang,Female,Extended Economic,10, 1
 Manang,Female,Extended Economic,11,  0
 Manang,Female,Extended Economic,12,  1
 Manang,Female,Seeking job,0,2379
 Manang,Female,Seeking job,1,2
 Manang,Female,Seeking job,2,0
 Manang,Female,Seeking job,3,1
 Manang,Female,Seeking job,4,  3
 Manang,Female,Seeking job,5, 1
 Manang,Female,Seeking job,6,  1
 Manang,Female,Seeking job,7, 0
 Manang,Female,Seeking job,8,0
 Manang,Female,Seeking job,9,0
 Manang,Female,Seeking job,10, 0
 Manang,Female,Seeking job,11,  0
 Manang,Female,Seeking job,12,  4
 Manang,Female,Non-Economic,0, 808
 Manang,Female,Non-Economic,1,  13
 Manang,Female,Non-Economic,2, 231
 Manang,Female,Non-Economic,3,  98
 Manang,Female,Non-Economic,4,273
 Manang,Female,Non-Economic,5,18
 Manang,Female,Non-Economic,6,114
 Manang,Female,Non-Economic,7, 2
 Manang,Female,Non-Economic,8,  12
 Manang,Female,Non-Economic,9,9
 Manang,Female,Non-Economic,10,79
 Manang,Female,Non-Economic,11,  2
 Manang,Female,Non-Economic,12,732
 Mustang,Male,Economic,0,957
 Mustang,Male,Economic,1,4
 Mustang,Male,Economic,2,  32
 Mustang,Male,Economic,3,  13
 Mustang,Male,Economic,4, 33
 Mustang,Male,Economic,5,17
 Mustang,Male,Economic,6,318
 Mustang,Male,Economic,7,  108
 Mustang,Male,Economic,8, 443
 Mustang,Male,Economic,9, 203
 Mustang,Male,Economic,10,  403
 Mustang,Male,Economic,11,  48
 Mustang,Male,Economic,12, 2376
 Mustang,Male,Extended Economic,0, 4226
 Mustang,Male,Extended Economic,1,  67
 Mustang,Male,Extended Economic,2, 255
 Mustang,Male,Extended Economic,3,  75
 Mustang,Male,Extended Economic,4,185
 Mustang,Male,Extended Economic,5,14
 Mustang,Male,Extended Economic,6, 82
 Mustang,Male,Extended Economic,7, 2
 Mustang,Male,Extended Economic,8,  14
 Mustang,Male,Extended Economic,9,2
 Mustang,Male,Extended Economic,10, 6
 Mustang,Male,Extended Economic,11,0
 Mustang,Male,Extended Economic,12, 27
 Mustang,Male,Seeking job,0, 4793
 Mustang,Male,Seeking job,1,  31
 Mustang,Male,Seeking job,2,  37
 Mustang,Male,Seeking job,3,  25
 Mustang,Male,Seeking job,4, 24
 Mustang,Male,Seeking job,5,12
 Mustang,Male,Seeking job,6, 14
 Mustang,Male,Seeking job,7, 2
 Mustang,Male,Seeking job,8,1
 Mustang,Male,Seeking job,9,0
 Mustang,Male,Seeking job,10, 2
 Mustang,Male,Seeking job,11,1
 Mustang,Male,Seeking job,12, 14
 Mustang,Male,Non-Economic,0,2952
 Mustang,Male,Non-Economic,1,  65
 Mustang,Male,Non-Economic,2, 318
 Mustang,Male,Non-Economic,3, 201
 Mustang,Male,Non-Economic,4,258
 Mustang,Male,Non-Economic,5,70
 Mustang,Male,Non-Economic,6,131
 Mustang,Male,Non-Economic,7, 9
 Mustang,Male,Non-Economic,8,  22
 Mustang,Male,Non-Economic,9,8
 Mustang,Male,Non-Economic,10,39
 Mustang,Male,Non-Economic,11,3
 Mustang,Male,Non-Economic,12,879
 Mustang,Female,Economic,0,1275
 Mustang,Female,Economic,1,5
 Mustang,Female,Economic,2,  45
 Mustang,Female,Economic,3,  35
 Mustang,Female,Economic,4, 80
 Mustang,Female,Economic,5, 54
 Mustang,Female,Economic,6,  638
 Mustang,Female,Economic,7,  191
 Mustang,Female,Economic,8, 648
 Mustang,Female,Economic,9, 209
 Mustang,Female,Economic,10,  390
 Mustang,Female,Economic,11,  11
 Mustang,Female,Economic,12, 1391
 Mustang,Female,Extended Economic,0,4380
 Mustang,Female,Extended Economic,1,  40
 Mustang,Female,Extended Economic,2, 204
 Mustang,Female,Extended Economic,3,  61
 Mustang,Female,Extended Economic,4,167
 Mustang,Female,Extended Economic,5, 13
 Mustang,Female,Extended Economic,6,48
 Mustang,Female,Extended Economic,7, 9
 Mustang,Female,Extended Economic,8,  19
 Mustang,Female,Extended Economic,9,8
 Mustang,Female,Extended Economic,10, 5
 Mustang,Female,Extended Economic,11,0
 Mustang,Female,Extended Economic,12, 20
 Mustang,Female,Seeking job,0,4882
 Mustang,Female,Seeking job,1,  11
 Mustang,Female,Seeking job,2,  17
 Mustang,Female,Seeking job,3,  20
 Mustang,Female,Seeking job,4, 17
 Mustang,Female,Seeking job,5, 10
 Mustang,Female,Seeking job,6, 7
 Mustang,Female,Seeking job,7, 0
 Mustang,Female,Seeking job,8,2
 Mustang,Female,Seeking job,9,0
 Mustang,Female,Seeking job,10, 0
 Mustang,Female,Seeking job,11,0
 Mustang,Female,Seeking job,12,  8
 Mustang,Female,Non-Economic,0,  1653
 Mustang,Female,Non-Economic,1,  32
 Mustang,Female,Non-Economic,2, 438
 Mustang,Female,Non-Economic,3, 254
 Mustang,Female,Non-Economic,4,623
 Mustang,Female,Non-Economic,5,168
 Mustang,Female,Non-Economic,6,  476
 Mustang,Female,Non-Economic,7,19
 Mustang,Female,Non-Economic,8,  48
 Mustang,Female,Non-Economic,9,  31
 Mustang,Female,Non-Economic,10,42
 Mustang,Female,Non-Economic,11,5
 Mustang,Female,Non-Economic,12, 1183
 Myagdi,Male,Economic,0, 14860
 Myagdi,Male,Economic,1,326
 Myagdi,Male,Economic,2,469
 Myagdi,Male,Economic,3, 358
 Myagdi,Male,Economic,4,535
 Myagdi,Male,Economic,5, 255
 Myagdi,Male,Economic,6,  1873
 Myagdi,Male,Economic,7,  1459
 Myagdi,Male,Economic,8, 2817
 Myagdi,Male,Economic,9,1498
 Myagdi,Male,Economic,10,2319
 Myagdi,Male,Economic,11,  812
 Myagdi,Male,Economic,12, 9731
 Myagdi,Male,Extended Economic,0, 31686
 Myagdi,Male,Extended Economic,1, 1292
 Myagdi,Male,Extended Economic,2, 2209
 Myagdi,Male,Extended Economic,3, 850
 Myagdi,Male,Extended Economic,4,629
 Myagdi,Male,Extended Economic,5, 144
 Myagdi,Male,Extended Economic,6, 207
 Myagdi,Male,Extended Economic,7,  40
 Myagdi,Male,Extended Economic,8, 56
 Myagdi,Male,Extended Economic,9,16
 Myagdi,Male,Extended Economic,10,48
 Myagdi,Male,Extended Economic,11, 7
 Myagdi,Male,Extended Economic,12,126
 Myagdi,Male,Seeking job,0, 34302
 Myagdi,Male,Seeking job,1,756
 Myagdi,Male,Seeking job,2,764
 Myagdi,Male,Seeking job,3, 299
 Myagdi,Male,Seeking job,4,325
 Myagdi,Male,Seeking job,5, 154
 Myagdi,Male,Seeking job,6, 171
 Myagdi,Male,Seeking job,7,  82
 Myagdi,Male,Seeking job,8,122
 Myagdi,Male,Seeking job,9,17
 Myagdi,Male,Seeking job,10,74
 Myagdi,Male,Seeking job,11, 8
 Myagdi,Male,Seeking job,12,237
 Myagdi,Male,Non-Economic,0,12792
 Myagdi,Male,Non-Economic,1, 1257
 Myagdi,Male,Non-Economic,2, 3026
 Myagdi,Male,Non-Economic,3,  1658
 Myagdi,Male,Non-Economic,4, 1607
 Myagdi,Male,Non-Economic,5, 747
 Myagdi,Male,Non-Economic,6, 899
 Myagdi,Male,Non-Economic,7, 131
 Myagdi,Male,Non-Economic,8,302
 Myagdi,Male,Non-Economic,9,  187
 Myagdi,Male,Non-Economic,10,  421
 Myagdi,Male,Non-Economic,11,  224
 Myagdi,Male,Non-Economic,12,14061
 Myagdi,Female,Economic,0,  18438
 Myagdi,Female,Economic,1, 490
 Myagdi,Female,Economic,2,781
 Myagdi,Female,Economic,3, 796
 Myagdi,Female,Economic,4, 1657
 Myagdi,Female,Economic,5,1048
 Myagdi,Female,Economic,6, 5624
 Myagdi,Female,Economic,7,  3846
 Myagdi,Female,Economic,8, 6125
 Myagdi,Female,Economic,9,2238
 Myagdi,Female,Economic,10,2498
 Myagdi,Female,Economic,11,  509
 Myagdi,Female,Economic,12, 5457
 Myagdi,Female,Extended Economic,0,  38446
 Myagdi,Female,Extended Economic,1,  2678
 Myagdi,Female,Extended Economic,2, 4526
 Myagdi,Female,Extended Economic,3,  2139
 Myagdi,Female,Extended Economic,4,964
 Myagdi,Female,Extended Economic,5,  173
 Myagdi,Female,Extended Economic,6,276
 Myagdi,Female,Extended Economic,7,  79
 Myagdi,Female,Extended Economic,8, 71
 Myagdi,Female,Extended Economic,9,15
 Myagdi,Female,Extended Economic,10,54
 Myagdi,Female,Extended Economic,11,24
 Myagdi,Female,Extended Economic,12, 64
 Myagdi,Female,Seeking job,0,  48389
 Myagdi,Female,Seeking job,1, 205
 Myagdi,Female,Seeking job,2,367
 Myagdi,Female,Seeking job,3, 181
 Myagdi,Female,Seeking job,4,142
 Myagdi,Female,Seeking job,5,70
 Myagdi,Female,Seeking job,6, 64
 Myagdi,Female,Seeking job,7,  25
 Myagdi,Female,Seeking job,8, 24
 Myagdi,Female,Seeking job,9, 0
 Myagdi,Female,Seeking job,10,41
 Myagdi,Female,Seeking job,11, 0
 Myagdi,Female,Seeking job,12,  0
 Myagdi,Female,Non-Economic,0,  6865
 Myagdi,Female,Non-Economic,1,  1233
 Myagdi,Female,Non-Economic,2, 4548
 Myagdi,Female,Non-Economic,3,  3599
 Myagdi,Female,Non-Economic,4, 5884
 Myagdi,Female,Non-Economic,5,2965
 Myagdi,Female,Non-Economic,6, 3594
 Myagdi,Female,Non-Economic,7, 549
 Myagdi,Female,Non-Economic,8,960
 Myagdi,Female,Non-Economic,9,  518
 Myagdi,Female,Non-Economic,10,  689
 Myagdi,Female,Non-Economic,11,  351
 Myagdi,Female,Non-Economic,12,17750
 Parbat,Male,Economic,0,20035
 Parbat,Male,Economic,1, 503
 Parbat,Male,Economic,2, 2444
 Parbat,Male,Economic,3, 768
 Parbat,Male,Economic,4,919
 Parbat,Male,Economic,5, 319
 Parbat,Male,Economic,6,  2154
 Parbat,Male,Economic,7,  1220
 Parbat,Male,Economic,8, 2319
 Parbat,Male,Economic,9,1129
 Parbat,Male,Economic,10,2838
 Parbat,Male,Economic,11,  686
 Parbat,Male,Economic,12,13656
 Parbat,Male,Extended Economic,0,42131
 Parbat,Male,Extended Economic,1,  1296
 Parbat,Male,Extended Economic,2, 2552
 Parbat,Male,Extended Economic,3,  1080
 Parbat,Male,Extended Economic,4, 1025
 Parbat,Male,Extended Economic,5, 181
 Parbat,Male,Extended Economic,6, 368
 Parbat,Male,Extended Economic,7,  33
 Parbat,Male,Extended Economic,8,126
 Parbat,Male,Extended Economic,9,56
 Parbat,Male,Extended Economic,10,63
 Parbat,Male,Extended Economic,11, 8
 Parbat,Male,Extended Economic,12, 70
 Parbat,Male,Seeking job,0,45935
 Parbat,Male,Seeking job,1, 397
 Parbat,Male,Seeking job,2,945
 Parbat,Male,Seeking job,3, 386
 Parbat,Male,Seeking job,4,257
 Parbat,Male,Seeking job,5, 207
 Parbat,Male,Seeking job,6, 340
 Parbat,Male,Seeking job,7,  32
 Parbat,Male,Seeking job,8,126
 Parbat,Male,Seeking job,9,48
 Parbat,Male,Seeking job,10,95
 Parbat,Male,Seeking job,11, 0
 Parbat,Male,Seeking job,12,222
 Parbat,Male,Non-Economic,0,  17959
 Parbat,Male,Non-Economic,1, 904
 Parbat,Male,Non-Economic,2, 2786
 Parbat,Male,Non-Economic,3,  1207
 Parbat,Male,Non-Economic,4, 1399
 Parbat,Male,Non-Economic,5, 591
 Parbat,Male,Non-Economic,6, 911
 Parbat,Male,Non-Economic,7, 204
 Parbat,Male,Non-Economic,8,642
 Parbat,Male,Non-Economic,9,  712
 Parbat,Male,Non-Economic,10,2411
 Parbat,Male,Non-Economic,11,  393
 Parbat,Male,Non-Economic,12,18870
 Parbat,Female,Economic,0,  26195
 Parbat,Female,Economic,1, 955
 Parbat,Female,Economic,2, 2992
 Parbat,Female,Economic,3,  1762
 Parbat,Female,Economic,4, 2355
 Parbat,Female,Economic,5,1302
 Parbat,Female,Economic,6, 7694
 Parbat,Female,Economic,7,  3010
 Parbat,Female,Economic,8, 5253
 Parbat,Female,Economic,9,2401
 Parbat,Female,Economic,10,3680
 Parbat,Female,Economic,11,  426
 Parbat,Female,Economic,12, 8555
 Parbat,Female,Extended Economic,0,  51346
 Parbat,Female,Extended Economic,1,  2614
 Parbat,Female,Extended Economic,2, 6284
 Parbat,Female,Extended Economic,3,  2994
 Parbat,Female,Extended Economic,4, 1769
 Parbat,Female,Extended Economic,5,  404
 Parbat,Female,Extended Economic,6,599
 Parbat,Female,Extended Economic,7, 134
 Parbat,Female,Extended Economic,8,217
 Parbat,Female,Extended Economic,9,31
 Parbat,Female,Extended Economic,10,70
 Parbat,Female,Extended Economic,11, 0
 Parbat,Female,Extended Economic,12,118
 Parbat,Female,Seeking job,0,  65430
 Parbat,Female,Seeking job,1, 237
 Parbat,Female,Seeking job,2,449
 Parbat,Female,Seeking job,3, 110
 Parbat,Female,Seeking job,4, 55
 Parbat,Female,Seeking job,5,80
 Parbat,Female,Seeking job,6,101
 Parbat,Female,Seeking job,7,  23
 Parbat,Female,Seeking job,8, 23
 Parbat,Female,Seeking job,9, 0
 Parbat,Female,Seeking job,10, 0
 Parbat,Female,Seeking job,11, 7
 Parbat,Female,Seeking job,12, 64
 Parbat,Female,Non-Economic,0, 11015
 Parbat,Female,Non-Economic,1, 883
 Parbat,Female,Non-Economic,2, 5128
 Parbat,Female,Non-Economic,3,  3970
 Parbat,Female,Non-Economic,4, 6082
 Parbat,Female,Non-Economic,5,2396
 Parbat,Female,Non-Economic,6, 5349
 Parbat,Female,Non-Economic,7, 974
 Parbat,Female,Non-Economic,8, 1665
 Parbat,Female,Non-Economic,9,1074
 Parbat,Female,Non-Economic,10,3491
 Parbat,Female,Non-Economic,11,  818
 Parbat,Female,Non-Economic,12,23735
 Baglung,Male,Economic,0, 39202
 Baglung,Male,Economic,1,568
 Baglung,Male,Economic,2, 1392
 Baglung,Male,Economic,3,  1078
 Baglung,Male,Economic,4, 1517
 Baglung,Male,Economic,5, 835
 Baglung,Male,Economic,6,  5015
 Baglung,Male,Economic,7,  1710
 Baglung,Male,Economic,8,  4151
 Baglung,Male,Economic,9,2282
 Baglung,Male,Economic,10, 3474
 Baglung,Male,Economic,11,  914
 Baglung,Male,Economic,12,23216
 Baglung,Male,Extended Economic,0, 75671
 Baglung,Male,Extended Economic,1, 2047
 Baglung,Male,Extended Economic,2, 2677
 Baglung,Male,Extended Economic,3,  1668
 Baglung,Male,Extended Economic,4, 1437
 Baglung,Male,Extended Economic,5, 354
 Baglung,Male,Extended Economic,6, 822
 Baglung,Male,Extended Economic,7, 179
 Baglung,Male,Extended Economic,8, 175
 Baglung,Male,Extended Economic,9,73
 Baglung,Male,Extended Economic,10, 50
 Baglung,Male,Extended Economic,11, 8
 Baglung,Male,Extended Economic,12,196
 Baglung,Male,Seeking job,0, 79588
 Baglung,Male,Seeking job,1,998
 Baglung,Male,Seeking job,2, 1403
 Baglung,Male,Seeking job,3, 634
 Baglung,Male,Seeking job,4,794
 Baglung,Male,Seeking job,5, 303
 Baglung,Male,Seeking job,6, 631
 Baglung,Male,Seeking job,7, 106
 Baglung,Male,Seeking job,8, 146
 Baglung,Male,Seeking job,9,  116
 Baglung,Male,Seeking job,10,117
 Baglung,Male,Seeking job,11,17
 Baglung,Male,Seeking job,12,503
 Baglung,Male,Non-Economic,0,30046
 Baglung,Male,Non-Economic,1, 1493
 Baglung,Male,Non-Economic,2, 3730
 Baglung,Male,Non-Economic,3,  2365
 Baglung,Male,Non-Economic,4, 2795
 Baglung,Male,Non-Economic,5, 956
 Baglung,Male,Non-Economic,6,  2734
 Baglung,Male,Non-Economic,7, 485
 Baglung,Male,Non-Economic,8, 787
 Baglung,Male,Non-Economic,9,  671
 Baglung,Male,Non-Economic,10, 1321
 Baglung,Male,Non-Economic,11,  399
 Baglung,Male,Non-Economic,12,37574
 Baglung,Female,Economic,0,  54482
 Baglung,Female,Economic,1, 968
 Baglung,Female,Economic,2, 2851
 Baglung,Female,Economic,3,  3002
 Baglung,Female,Economic,4, 4061
 Baglung,Female,Economic,5,2475
 Baglung,Female,Economic,6,15172
 Baglung,Female,Economic,7,  4346
 Baglung,Female,Economic,8,  9069
 Baglung,Female,Economic,9,3492
 Baglung,Female,Economic,10, 4918
 Baglung,Female,Economic,11,  515
 Baglung,Female,Economic,12,14752
 Baglung,Female,Extended Economic,0, 101805
 Baglung,Female,Extended Economic,1,  3943
 Baglung,Female,Extended Economic,2, 5667
 Baglung,Female,Extended Economic,3,  4360
 Baglung,Female,Extended Economic,4, 2367
 Baglung,Female,Extended Economic,5,  546
 Baglung,Female,Extended Economic,6,890
 Baglung,Female,Extended Economic,7,  38
 Baglung,Female,Extended Economic,8, 176
 Baglung,Female,Extended Economic,9,83
 Baglung,Female,Extended Economic,10, 36
 Baglung,Female,Extended Economic,11, 8
 Baglung,Female,Extended Economic,12,186
 Baglung,Female,Seeking job,0, 118110
 Baglung,Female,Seeking job,1, 377
 Baglung,Female,Seeking job,2,630
 Baglung,Female,Seeking job,3, 229
 Baglung,Female,Seeking job,4,307
 Baglung,Female,Seeking job,5,  120
 Baglung,Female,Seeking job,6,162
 Baglung,Female,Seeking job,7,0
 Baglung,Female,Seeking job,8,  36
 Baglung,Female,Seeking job,9,26
 Baglung,Female,Seeking job,10, 41
 Baglung,Female,Seeking job,11, 0
 Baglung,Female,Seeking job,12, 65
 Baglung,Female,Non-Economic,0, 17848
 Baglung,Female,Non-Economic,1,  1239
 Baglung,Female,Non-Economic,2, 7676
 Baglung,Female,Non-Economic,3,  6149
 Baglung,Female,Non-Economic,4, 9641
 Baglung,Female,Non-Economic,5,3086
 Baglung,Female,Non-Economic,6,11528
 Baglung,Female,Non-Economic,7,  1556
 Baglung,Female,Non-Economic,8,  3141
 Baglung,Female,Non-Economic,9,1874
 Baglung,Female,Non-Economic,10, 2446
 Baglung,Female,Non-Economic,11,  763
 Baglung,Female,Non-Economic,12,53157
 Gulmi,Male,Economic,0,37832
 Gulmi,Male,Economic,1, 873
 Gulmi,Male,Economic,2, 2339
 Gulmi,Male,Economic,3,  1126
 Gulmi,Male,Economic,4, 1899
 Gulmi,Male,Economic,5,1317
 Gulmi,Male,Economic,6, 4722
 Gulmi,Male,Economic,7,  2704
 Gulmi,Male,Economic,8,  5149
 Gulmi,Male,Economic,9,3210
 Gulmi,Male,Economic,10, 5252
 Gulmi,Male,Economic,11,1248
 Gulmi,Male,Economic,12,19514
 Gulmi,Male,Extended Economic,0,69493
 Gulmi,Male,Extended Economic,1,  3650
 Gulmi,Male,Extended Economic,2, 6255
 Gulmi,Male,Extended Economic,3,  3153
 Gulmi,Male,Extended Economic,4, 2504
 Gulmi,Male,Extended Economic,5,  674
 Gulmi,Male,Extended Economic,6,913
 Gulmi,Male,Extended Economic,7,  66
 Gulmi,Male,Extended Economic,8, 194
 Gulmi,Male,Extended Economic,9,48
 Gulmi,Male,Extended Economic,10,114
 Gulmi,Male,Extended Economic,11, 9
 Gulmi,Male,Extended Economic,12,115
 Gulmi,Male,Seeking job,0,80110
 Gulmi,Male,Seeking job,1,  1348
 Gulmi,Male,Seeking job,2, 2274
 Gulmi,Male,Seeking job,3, 932
 Gulmi,Male,Seeking job,4,817
 Gulmi,Male,Seeking job,5,  328
 Gulmi,Male,Seeking job,6,438
 Gulmi,Male,Seeking job,7, 114
 Gulmi,Male,Seeking job,8, 132
 Gulmi,Male,Seeking job,9,65
 Gulmi,Male,Seeking job,10,188
 Gulmi,Male,Seeking job,11, 0
 Gulmi,Male,Seeking job,12,442
 Gulmi,Male,Non-Economic,0,  29930
 Gulmi,Male,Non-Economic,1,  2268
 Gulmi,Male,Non-Economic,2, 5272
 Gulmi,Male,Non-Economic,3,  2558
 Gulmi,Male,Non-Economic,4, 2878
 Gulmi,Male,Non-Economic,5,1294
 Gulmi,Male,Non-Economic,6, 1676
 Gulmi,Male,Non-Economic,7, 516
 Gulmi,Male,Non-Economic,8, 998
 Gulmi,Male,Non-Economic,9,  659
 Gulmi,Male,Non-Economic,10, 2571
 Gulmi,Male,Non-Economic,11,  598
 Gulmi,Male,Non-Economic,12,35969
 Gulmi,Female,Economic,0,  49102
 Gulmi,Female,Economic,1,  1494
 Gulmi,Female,Economic,2, 4794
 Gulmi,Female,Economic,3,  3996
 Gulmi,Female,Economic,4, 7128
 Gulmi,Female,Economic,5,3789
 Gulmi,Female,Economic,6,16670
 Gulmi,Female,Economic,7,  7107
 Gulmi,Female,Economic,8, 11357
 Gulmi,Female,Economic,9,4154
 Gulmi,Female,Economic,10, 6916
 Gulmi,Female,Economic,11,  779
 Gulmi,Female,Economic,12,10540
 Gulmi,Female,Extended Economic,0,  93730
 Gulmi,Female,Extended Economic,1,  5894
 Gulmi,Female,Extended Economic,2,12949
 Gulmi,Female,Extended Economic,3,  7780
 Gulmi,Female,Extended Economic,4, 4892
 Gulmi,Female,Extended Economic,5,  887
 Gulmi,Female,Extended Economic,6, 1103
 Gulmi,Female,Extended Economic,7, 137
 Gulmi,Female,Extended Economic,8, 210
 Gulmi,Female,Extended Economic,9,65
 Gulmi,Female,Extended Economic,10, 64
 Gulmi,Female,Extended Economic,11, 0
 Gulmi,Female,Extended Economic,12,113
 Gulmi,Female,Seeking job,0, 125011
 Gulmi,Female,Seeking job,1, 765
 Gulmi,Female,Seeking job,2,771
 Gulmi,Female,Seeking job,3, 379
 Gulmi,Female,Seeking job,4,304
 Gulmi,Female,Seeking job,5,  128
 Gulmi,Female,Seeking job,6,243
 Gulmi,Female,Seeking job,7,  16
 Gulmi,Female,Seeking job,8,  64
 Gulmi,Female,Seeking job,9,16
 Gulmi,Female,Seeking job,10, 40
 Gulmi,Female,Seeking job,11, 0
 Gulmi,Female,Seeking job,12, 89
 Gulmi,Female,Non-Economic,0, 15417
 Gulmi,Female,Non-Economic,1,  1736
 Gulmi,Female,Non-Economic,2,11175
 Gulmi,Female,Non-Economic,3,  8461
 Gulmi,Female,Non-Economic,4,13345
 Gulmi,Female,Non-Economic,5,6174
 Gulmi,Female,Non-Economic,6,10890
 Gulmi,Female,Non-Economic,7,  2321
 Gulmi,Female,Non-Economic,8,  4484
 Gulmi,Female,Non-Economic,9,2368
 Gulmi,Female,Non-Economic,10, 3920
 Gulmi,Female,Non-Economic,11,  933
 Gulmi,Female,Non-Economic,12,46602
 Palpa,Male,Economic,0, 38313
 Palpa,Male,Economic,1,288
 Palpa,Male,Economic,2,745
 Palpa,Male,Economic,3, 675
 Palpa,Male,Economic,4, 1303
 Palpa,Male,Economic,5, 712
 Palpa,Male,Economic,6,  4104
 Palpa,Male,Economic,7,  2123
 Palpa,Male,Economic,8,  4695
 Palpa,Male,Economic,9, 3461
 Palpa,Male,Economic,10, 4964
 Palpa,Male,Economic,11,2145
 Palpa,Male,Economic,12, 22564
 Palpa,Male,Extended Economic,0, 70273
 Palpa,Male,Extended Economic,1, 3896
 Palpa,Male,Extended Economic,2, 5839
 Palpa,Male,Extended Economic,3,  2932
 Palpa,Male,Extended Economic,4, 2101
 Palpa,Male,Extended Economic,5, 335
 Palpa,Male,Extended Economic,6, 467
 Palpa,Male,Extended Economic,7,  73
 Palpa,Male,Extended Economic,8,  84
 Palpa,Male,Extended Economic,9,  8
